0:00:08.38,0:00:12.68,「我们四天王 需要占领四个国家」,我々四天王は四つの国を占領する必要があった
0:02:44.27,0:02:45.58,「哒」？,なのだ？
0:12:26.53,0:12:28.31,「治好别扭药」,「ひねくれ者じゃなくなる薬」
0:12:30.17,0:12:32.04,「多一些女人味药」,「少しは女の子らしくなる薬」
0:14:41.09,0:14:42.64,「万分感谢」,ありがたき幸せ
0:14:55.46,0:14:57.62,「不胜惶恐」,もったいなきお言葉
0:15:07.81,0:15:10.03,「通往未知世界的大门」,未知なる世界への扉
0:15:10.03,0:15:11.56,「崭新的快感」,新たなる快感
0:15:20.02,0:15:21.82,「大 大哥」,ア　アニキー
0:15:22.25,0:15:26.32,「这就是我们梦寐以求的香格里拉吗」,これが夢にまで見た　シャングリラでやんすかー
0:17:26.94,0:17:29.12,「这是何等美好的向往」,なんという素晴らしい憧憬
0:18:32.19,0:18:33.72,「甘甜诱惑],甘味なる誘惑
