0:00:47.04,0:00:49.04,「仿佛皇族贵胄一般」,これが殿上人の景色か
0:01:30.16,0:01:32.49,「于此 缘定终身」,ここで　縁定めの契りを
0:04:00.00,0:04:00.93,「下不为例」,今日だけだぞ
0:04:21.66,0:04:23.08,「悉听尊便」,仰せのままに
0:07:49.26,0:07:51.28,「天赐胜机 必当拿下」,今こそ　勝利を我が手に
0:08:01.66,0:08:03.30,「俺还不想死」,おらまだ死にたくねえ
0:08:32.85,0:08:35.98,「大 大哥」「和我结婚吧」,あ　兄貴　俺と結婚してくれ
0:09:08.80,0:09:10.32,「笑开了花」,朗らかに笑った
0:10:42.81,0:10:45.17,「人生终究不过如此」,人生なんて所詮こんなもんよ
0:13:53.65,0:13:55.73,「请你和我分手吧」,私とお別れしてください
0:14:20.78,0:14:22.43,「本小姐很在意」,あたくし気がかりよ
0:19:49.63,0:19:52.30,「成年人总是如此卑鄙」,大人たちはいつも卑怯だ
0:20:06.74,0:20:08.77,「这社会可没这么容易」,世の中そんなに甘くないぜ
0:21:40.94,0:21:43.53,「出发吧 爱之逃避行」,いざ行かん　愛の逃避行へ
